Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8823.8	639.36	31.66	20.38
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10187.5	995.46	48.12	24.99
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8906.9	2277.7	74.05	34.24
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10463.1	1261.6	58.35	27.62
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9665.8	1086.5	81.42	32.43
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9904.6	808.5	82.47	32.56
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9479.2	1200	17.02	15.46
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9647	1874.1	29.95	20.85
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9813.4	923.29	112.66	38.16
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9067.7	713.26	25.17	18.33
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10286.9	643.86	108.51	37.5
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9406.6	2268.3	19.72	17.3
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10456.9	897.95	104.38	36.93
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9229.2	2284.1	82.33	32.7
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9030.4	1099.6	37.06	23.3
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9077.6	1625.5	22.62	18.13
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9627.5	896.66	125.61	40.29
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9192.7	694.67	26.02	18.96
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8886.9	1194.4	100.58	36.41
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8796.8	2044.7	38.57	22.43
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9467.6	2199.5	61.21	28.46
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10179.6	621.78	26.43	19.05
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9833.1	2415.5	79.46	32.12
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10311	2295.9	51.98	27.58
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9415.8	2471.3	30.01	20.35
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9595.8	2148.6	51.02	25.68
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10209.4	1809.5	34.24	21.64
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10473.2	2439.9	32.5	21.39
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10393.1	661.51	14.22	13.97
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9144.7	2821	34.14	22.25
