Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6911.7	1591.5	0.9234	110.2435	38.3684	0.9411	0.9978	13.9825	9.8465	0.4625	0.4785	0.2074	0.7261	0.1073	-0.0501	-0.0572	-0.0921	0.0328	0.0269
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6908.2	988.38	0.9233	128.9432	40.9846	0.9646	1	14.1202	11.5573	0.544	0.55	0.2525	0.7561	0.1024	-0.07	-0.0745	-0.1279	0.0068	0.0236
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7593.7	2252.5	0.9228	65.0933	29.4427	0.9436	1	10.8145	7.9221	0.4162	0.4288	0.1836	0.581	0.0752	-0.0516	-0.0528	-0.0991	0.0054	0.0206
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7997	2206.6	0.9226	62.709	28.7643	0.9524	0.998	10.2493	8.0115	0.4643	0.4998	0.1196	0.7363	0.1299	-0.0483	-0.0529	-0.1117	0.0386	0.0321
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7335.3	2232.6	0.9226	64.6031	28.8926	0.9725	1	9.8317	8.7308	0.4334	0.4562	0.1352	0.6409	0.1133	-0.05	-0.0506	-0.1068	0.0201	0.0278
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7723.1	825.24	0.9225	140.335	43.2106	0.9445	0.9979	15.4024	11.1527	0.5286	0.5436	0.1517	1.005	0.1654	-0.0637	-0.068	-0.1407	0.0145	0.0339
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7656.1	2299.9	0.9222	88.1068	33.5721	0.9823	1	10.9773	10.3997	0.3955	0.3925	0.119	0.8291	0.1034	-0.0417	-0.0483	-0.0982	0.0464	0.0299
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	8070	1864.2	0.9217	97.3311	35.5529	0.9676	0.9982	12.0758	10.4458	0.4825	0.5188	0.1328	0.7781	0.1405	-0.0511	-0.0595	-0.1023	0.0486	0.031
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7442.1	1078.2	0.9216	106.106	37.2452	0.9612	1	12.8643	10.2807	0.4547	0.4746	0.1395	0.6437	0.0961	-0.0567	-0.0599	-0.1027	0.018	0.026
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7170.8	2614.4	0.9211	114.8565	38.514	0.973	1	12.734	11.6974	0.4121	0.4189	0.1047	0.6065	0.0976	-0.0484	-0.0517	-0.1101	0.04	0.0252
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7955.3	1968.1	0.921	72.2839	30.933	0.9493	0.9948	11.0325	8.5027	0.4807	0.5167	0.1383	0.6517	0.1079	-0.059	-0.0719	-0.1029	0.0218	0.0292
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6941.8	2121	0.9208	98.4882	35.5675	0.9783	1	11.7477	10.983	0.4064	0.4317	0.1214	0.6087	0.1041	-0.0418	-0.0499	-0.0992	0.0487	0.0306
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7883.3	1870.9	0.9207	131.899	41.2211	0.9755	1	13.739	12.2429	0.4841	0.5019	0.1532	0.6853	0.1233	-0.0645	-0.073	-0.1171	0.026	0.032
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6920.3	2184.8	0.92	71.3577	30.327	0.975	1	10.1223	9.0895	0.337	0.3572	0.1319	0.4741	0.0706	-0.034	-0.0419	-0.0768	0.0369	0.0271
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	8068.8	2052.5	0.919	69.9598	30.1546	0.9668	1	10.6631	8.7146	0.3852	0.3994	0.1044	0.6908	0.1175	-0.0402	-0.0453	-0.11	0.0448	0.0325
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7416.9	2323	0.9188	70.3815	31.0372	0.9181	0.9911	11.1618	7.7569	0.4124	0.4364	0.1317	0.6428	0.1128	-0.0451	-0.0519	-0.1053	0.055	0.0335
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7183.5	2480.5	0.9184	66.9653	29.445	0.9706	1	10.2007	8.6603	0.4256	0.4355	0.1108	0.6196	0.1103	-0.0475	-0.0491	-0.1062	0.0479	0.0347
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7304.8	893.75	0.9183	107.8477	37.3325	0.9724	1	12.659	10.7123	0.3978	0.3945	0.1583	0.5969	0.0779	-0.0415	-0.0445	-0.1203	0.0223	0.0238
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7935.7	444.01	0.9179	67.3427	29.5511	0.9691	1	10.0925	8.4668	0.3695	0.3797	0.0789	0.6768	0.1411	-0.0306	-0.0377	-0.0961	0.0528	0.0367
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6975.1	2520.1	0.9178	37.6503	23.9718	0.8233	1	8.6802	5.7972	0.4341	0.4609	0.1868	0.5962	0.1029	-0.0576	-0.061	-0.1098	0.0289	0.0332
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7247.5	2468.3	0.9176	63.5759	28.7123	0.9691	1	9.8893	8.6997	0.4129	0.4322	0.1061	0.7569	0.1524	-0.0411	-0.0501	-0.0974	0.0555	0.0376
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7281.7	2197.8	0.9174	74.5053	30.9506	0.9774	1	10.2666	9.2931	0.3512	0.3625	0.1347	0.5107	0.0821	-0.0399	-0.0451	-0.0922	0.0214	0.0246
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	8094.5	2239.3	0.9174	58.359	27.4612	0.9725	1	9.4049	8.1296	0.3631	0.3707	0.0968	0.5486	0.114	-0.0371	-0.0413	-0.103	0.0511	0.0333
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6990.6	2308.6	0.9173	112.4611	38.1329	0.9719	1	12.7683	11.0488	0.5125	0.5246	0.2388	0.663	0.0758	-0.0618	-0.0658	-0.1048	-0.0068	0.0214
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7196.3	2290.1	0.917	96.3506	35.3754	0.9675	1	12.1621	9.8378	0.4805	0.5174	0.0928	0.7195	0.1424	-0.05	-0.0606	-0.0975	0.0396	0.0335
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7570.8	2299.2	0.917	82.7782	33.2855	0.9389	1	11.9762	8.5552	0.4363	0.4851	0.097	0.7417	0.1694	-0.042	-0.0542	-0.1216	0.0704	0.0467
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7526.5	1940.5	0.9167	90.6542	34.2088	0.9735	1	11.4955	9.8931	0.4419	0.4411	0.2192	0.7057	0.0798	-0.0534	-0.0567	-0.0956	0.0223	0.0232
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7483	2221.2	0.9167	76.9417	31.7137	0.9613	1	10.9441	8.7609	0.3844	0.4009	0.1223	0.6121	0.0945	-0.0387	-0.0432	-0.084	0.0229	0.0263
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	8000.6	2094.6	0.9165	107.4544	37.6183	0.9542	0.9995	13.5058	10.5028	0.4983	0.4896	0.159	0.8804	0.1603	-0.0623	-0.0683	-0.1132	0.0321	0.0328
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7167.7	2332.1	0.9164	58.5716	28.0277	0.937	0.9929	10.1085	7.4836	0.4216	0.4475	0.1908	0.634	0.0977	-0.0499	-0.0517	-0.0986	0.035	0.0284
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7871.6	695.55	0.9164	55.351	26.8901	0.9619	0.9953	9.1126	8.1383	0.4968	0.5462	0.129	0.7162	0.1376	-0.0557	-0.0623	-0.1079	0.0308	0.0318
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7591.9	709.66	0.9164	83.1677	32.7018	0.9773	1	10.8747	9.9211	0.43	0.455	0.123	0.6914	0.1275	-0.0358	-0.0455	-0.0795	0.0336	0.0313
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7441.8	2495.4	0.9163	125.2665	40.2291	0.9727	0.9982	13.1497	12.1286	0.4576	0.4611	0.1436	0.6787	0.0904	-0.0532	-0.0595	-0.1164	0.0327	0.0292
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7125	2355.6	0.9162	72.9251	30.6812	0.9735	1	10.3749	8.9432	0.4424	0.4559	0.0793	0.7898	0.1292	-0.046	-0.0486	-0.1167	0.0428	0.034
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7285.3	1956.1	0.9159	94.5176	35.0059	0.9693	1	12.2237	9.9809	0.3779	0.3941	0.1489	0.5417	0.0798	-0.0446	-0.0493	-0.0836	0.026	0.0235
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7562.1	2067.5	0.9158	106.5883	36.9796	0.9795	1	12.1398	11.3277	0.4241	0.4288	0.1305	0.6472	0.0858	-0.0449	-0.0522	-0.0957	0.0279	0.024
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7124	1535.2	0.9158	129.7014	41.7028	0.9372	0.9955	14.9294	11.0137	0.5465	0.5568	0.1325	0.7862	0.1051	-0.0682	-0.0751	-0.1154	0.0173	0.0271
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7493	2105.9	0.9156	107.6333	37.1737	0.9788	1	12.5593	11.1571	0.4917	0.5044	0.1593	0.6743	0.1013	-0.0667	-0.0743	-0.106	0.023	0.0261
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7914.8	1290.9	0.9155	44.3056	24.144	0.9551	0.9964	8.1896	7.1421	0.4115	0.4372	0.1191	0.6746	0.1309	-0.0508	-0.0525	-0.1069	0.0451	0.0366
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7684.6	2005.5	0.9154	91.1923	34.3212	0.9728	1	11.6333	10.0137	0.3601	0.3868	0.095	0.5417	0.1041	-0.0307	-0.0377	-0.0734	0.0535	0.0303
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7618.3	2086.3	0.9152	86.1527	33.6122	0.9583	1	12.0521	9.5456	0.3964	0.4056	0.1177	0.5901	0.0903	-0.0413	-0.0498	-0.0905	0.029	0.0267
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6940.1	1787.1	0.9151	73.238	30.7005	0.9765	1	10.3621	9.1954	0.399	0.4306	0.0734	0.5733	0.1124	-0.0346	-0.0487	-0.0823	0.0618	0.0353
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7528.7	2065.7	0.9151	72.6529	30.5423	0.9787	1	10.2694	9.2275	0.396	0.4061	0.1424	0.6832	0.1031	-0.0475	-0.053	-0.1001	0.0257	0.0315
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6797	980.44	0.9151	109.4387	38.4029	0.9325	0.9974	13.8787	9.648	0.4185	0.4279	0.1309	0.5198	0.0586	-0.0533	-0.0575	-0.0902	0.038	0.022
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7451.6	2309	0.915	66.6254	29.6117	0.9548	1	10.3635	8.1859	0.4665	0.5075	0.1465	0.6984	0.1371	-0.0506	-0.061	-0.1016	0.0181	0.0309
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7560.6	2226.8	0.915	61.8214	28.5698	0.9518	1	10.127	7.7539	0.3787	0.3912	0.0942	0.6587	0.1126	-0.0398	-0.047	-0.089	0.0322	0.0328
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7590.6	1792.6	0.9148	98.1991	35.743	0.9659	1	12.3817	10.0557	0.4206	0.4321	0.0941	0.7621	0.1114	-0.0513	-0.0574	-0.129	0.055	0.03
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7160.8	2403.8	0.9147	56.9421	27.2609	0.9629	1	9.4613	7.8413	0.3538	0.3678	0.1823	0.6322	0.0823	-0.0361	-0.0409	-0.0816	0.0216	0.0238
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6948.5	2400.4	0.9144	50.099	27.6511	0.8234	1	10.2575	6.2679	0.4529	0.4421	0.2771	0.6573	0.0762	-0.057	-0.0604	-0.0908	0.0008	0.0203
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7629	2095.8	0.9143	91.7984	34.4922	0.9696	1	11.7382	9.8004	0.3376	0.342	0.1433	0.5314	0.0634	-0.0317	-0.0342	-0.0862	0.0396	0.0248
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7403.7	1316	0.9143	73.483	30.8286	0.9716	1	10.7826	9.0796	0.4741	0.5041	0.1104	0.7388	0.1298	-0.0494	-0.0603	-0.1054	0.0387	0.0331
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6996	2296	0.9142	66.8198	29.5356	0.9626	1	10.222	8.1568	0.4035	0.4156	0.1327	0.5901	0.0919	-0.0488	-0.0572	-0.0895	0.0331	0.0284
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7049.9	2314.7	0.9141	82.7732	32.9302	0.9592	1	11.3357	9.0816	0.4354	0.4304	0.1492	0.7565	0.1021	-0.0514	-0.0545	-0.1106	0.0129	0.0272
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7780.4	1691.7	0.9141	137.7577	42.2204	0.9711	1	14.3172	12.1346	0.4195	0.416	0.1499	0.7424	0.1076	-0.0441	-0.0483	-0.1011	0.0259	0.0245
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7564.2	1971.3	0.914	79.6877	33.2398	0.9063	0.996	12.4042	7.8857	0.4065	0.4345	0.1332	0.5484	0.1009	-0.0422	-0.051	-0.0882	0.032	0.0275
