Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11461	1039.5	0.9202	98.2909	35.9691	0.9547	1	12.6277	9.659	0.4132	0.4457	0.1582	0.6003	0.102	-0.0488	-0.0588	-0.0868	0.0447	0.0284
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10784.2	2171.5	0.9199	67.4774	29.6139	0.9669	1	10.1718	8.4793	0.4002	0.4269	0.111	0.5698	0.1074	-0.0413	-0.047	-0.087	0.0479	0.0327
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10544.3	890.88	0.9198	113.6542	38.4053	0.9683	1	13.4684	10.8919	0.3827	0.3932	0.1464	0.5192	0.0654	-0.0392	-0.0445	-0.0858	0.0212	0.023
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10245.8	1825.9	0.9194	80.3594	32.4065	0.9616	1	11.4085	9.0466	0.3735	0.3815	0.1852	0.5388	0.0597	-0.0378	-0.0434	-0.0693	0.0178	0.0187
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11233.6	2480.6	0.9193	64.9461	29.6078	0.931	0.9978	10.6896	7.4496	0.344	0.342	0.1061	0.5957	0.1008	-0.025	-0.0254	-0.0808	0.0523	0.0309
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10772.4	1017.3	0.9191	128.7295	40.7341	0.9749	1	13.6666	12.172	0.4772	0.4742	0.1738	0.7196	0.0852	-0.0567	-0.0629	-0.1085	0.013	0.0228
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11294.9	1371.7	0.919	109.0021	37.6036	0.9687	1	12.6325	10.8733	0.4416	0.449	0.1959	0.692	0.0938	-0.0403	-0.0455	-0.0785	0.0239	0.0224
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11402.3	1804.3	0.9188	99.0842	35.7499	0.9742	1	11.9619	10.5666	0.3495	0.3713	0.1006	0.5998	0.1178	-0.0284	-0.04	-0.0923	0.0763	0.0385
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10601.1	2299.3	0.9186	145.4328	43.5766	0.9624	1	15.1484	11.8031	0.4449	0.4607	0.1485	0.6872	0.1003	-0.0412	-0.0475	-0.0914	0.0301	0.0249
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11079.7	906.71	0.9179	116.0556	38.7055	0.9735	1	12.8396	11.4273	0.4456	0.4289	0.2014	0.7218	0.1083	-0.0624	-0.0702	-0.1074	0.0182	0.0271
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10403.5	887.56	0.9177	118.5064	39.1735	0.9704	1	13.1663	11.5767	0.3671	0.3569	0.1896	0.6013	0.0598	-0.0376	-0.0383	-0.0885	0.0242	0.0191
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10781.3	2229.5	0.9176	81.2202	32.532	0.9644	1	11.2241	9.0238	0.3179	0.3386	0.1083	0.5283	0.0943	-0.0236	-0.0264	-0.0778	0.0448	0.0298
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10274.9	730.71	0.9175	95.2498	35.2727	0.962	1	12.4531	9.7052	0.3324	0.3533	0.0781	0.5254	0.1019	-0.0272	-0.0349	-0.0884	0.0766	0.036
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10974.5	1039.7	0.9175	113.0938	38.4594	0.9608	0.9984	13.3061	10.8777	0.3949	0.4065	0.1377	0.5771	0.0943	-0.047	-0.0534	-0.0958	0.0487	0.0303
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10430	1786.6	0.9175	77.0723	31.7682	0.9597	1	11.2286	8.6724	0.4284	0.4308	0.2353	0.6069	0.0705	-0.0488	-0.0547	-0.1	0.015	0.0263
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10369	625.77	0.9174	97.8836	36.0374	0.9471	1	12.9721	9.3376	0.3543	0.3515	0.1553	0.5315	0.0562	-0.0358	-0.0404	-0.0762	0.0319	0.0198
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10586.8	2299.4	0.9171	102.6608	36.3966	0.9739	1	12.1702	10.6543	0.3128	0.3258	0.1192	0.4349	0.0657	-0.0194	-0.0222	-0.0573	0.0391	0.0221
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11178.9	2159.9	0.9168	66.5965	29.4609	0.9642	0.9982	10.0464	8.5543	0.3892	0.4265	0.0994	0.6115	0.1408	-0.0379	-0.0464	-0.1152	0.0432	0.0394
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10990.9	689.17	0.9166	124.8342	40.2922	0.9663	1	13.8003	11.3424	0.4204	0.4387	0.1246	0.5781	0.0678	-0.0526	-0.0596	-0.0864	0.0437	0.0239
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11404.2	1889.4	0.9161	88.4221	33.688	0.9791	1	11.1298	10.0213	0.3837	0.3907	0.1865	0.5322	0.0736	-0.0432	-0.0435	-0.081	0.0243	0.023
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10795.4	1006.6	0.9158	111.1394	38.2232	0.9559	1	13.571	10.3779	0.3279	0.3376	0.1655	0.4431	0.0522	-0.0336	-0.0358	-0.0853	0.0275	0.0205
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10897.6	1523.4	0.9157	72.0872	30.466	0.976	1	10.2396	9.2021	0.4184	0.3922	0.1948	0.6372	0.1067	-0.0563	-0.0564	-0.1256	0.0207	0.0313
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10482.7	858.02	0.9156	122.3658	39.7042	0.9754	1	13.5475	11.6848	0.3404	0.3488	0.1213	0.4974	0.0766	-0.0331	-0.0346	-0.083	0.063	0.0271
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11361	1695.2	0.9155	92.9918	34.6884	0.9711	1	11.9614	10.1143	0.4477	0.4485	0.126	0.7985	0.1237	-0.0475	-0.0468	-0.0983	0.0383	0.0246
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11415.1	967.08	0.9154	92.7762	34.8506	0.9599	1	12.2818	9.6608	0.519	0.514	0.2334	0.8884	0.139	-0.0674	-0.074	-0.1282	0.0085	0.0349
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10646.7	2055	0.9153	83.6575	33.1711	0.9554	1	11.6669	8.9876	0.3342	0.3456	0.1312	0.5512	0.0824	-0.0324	-0.0417	-0.0818	0.0431	0.0278
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11379.7	1885	0.9152	86.1571	33.6252	0.9576	0.9957	11.6564	9.2946	0.3103	0.3339	0.1228	0.5671	0.0748	-0.0222	-0.025	-0.0865	0.0483	0.0299
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10536.1	2426	0.9151	58.0883	27.7384	0.9487	1	9.6921	7.5408	0.3182	0.3464	0.096	0.5138	0.1106	-0.0264	-0.0325	-0.0758	0.0599	0.0338
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11326.2	742.76	0.915	134.128	41.8099	0.9642	0.9991	14.3603	11.5418	0.4367	0.4395	0.1825	0.638	0.0991	-0.0546	-0.0569	-0.1127	0.0014	0.0232
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10214.4	373.59	0.9149	88.6763	34.2924	0.9476	0.9965	12.1323	9.0754	0.315	0.3362	0.1415	0.414	0.0644	-0.0229	-0.0277	-0.057	0.0395	0.0221
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10296.9	473.7	0.9148	121.4459	40.0126	0.9532	1	14.1333	10.5339	0.442	0.4546	0.1834	0.6112	0.0841	-0.0571	-0.0675	-0.0948	0.0273	0.0288
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11328.9	1460.4	0.9147	150.8266	44.4851	0.9578	1	15.8688	12.2401	0.3761	0.3856	0.1573	0.5272	0.0687	-0.0343	-0.0402	-0.0817	0.0384	0.0244
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10557.9	2313.6	0.9145	139.37	42.4512	0.9719	1	14.2911	12.7616	0.4073	0.4305	0.0821	0.6499	0.1022	-0.0369	-0.0441	-0.0894	0.0543	0.0269
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10171.2	940.73	0.9141	115.4682	38.696	0.969	1	13.1231	11.3391	0.4325	0.445	0.1235	0.6309	0.0746	-0.053	-0.0554	-0.0997	0.0083	0.0234
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11331.8	1050.7	0.9141	91.8414	34.3747	0.9767	1	11.4114	10.1492	0.3481	0.3451	0.1403	0.5408	0.0683	-0.0312	-0.035	-0.0694	0.0247	0.0213
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10697.9	1805.5	0.914	113.9655	38.7032	0.9561	0.9999	13.8096	10.4194	0.4117	0.4344	0.1896	0.6157	0.1006	-0.0449	-0.0523	-0.0912	0.035	0.0274
